scope,group,prompt_id,aspect,i,j,k,m_ij,m_jk,m_ki,intensity,orientation
global,evaluator=hardcore_booth,ALL,truthful,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=hungry_minsky,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,1.0,1.0,1.0,1.0,forward
global,evaluator=elastic_brahmagupta,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-1.0,-1.0,1.0,reverse
global,evaluator=gracious_kare,ALL,truthful,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=thirsty_northcutt,ALL,harmless,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,1.0,1.0,1.0,1.0,forward
global,evaluator=keen_noether,ALL,truthful,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,0.6666666666666666,1.0,1.0,0.6666666666666666,forward
global,evaluator=naughty_jones,ALL,truthful,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,1.0,1.0,0.6,0.6,forward
global,evaluator=brave_pike,ALL,harmless,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,0.5,0.5,forward
global,evaluator=cool_kalam,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,0.5,1.0,1.0,0.5,forward
global,evaluator=optimistic_newton,ALL,harmless,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,-0.5,-1.0,-1.0,0.5,reverse
global,evaluator=keen_noether,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-1.0,-0.5,0.5,reverse
global,evaluator=hungry_clarke,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,-1.0,-0.42857142857142855,-1.0,0.42857142857142855,reverse
global,evaluator=hungry_minsky,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,0.42857142857142855,1.0,1.0,0.42857142857142855,forward
global,evaluator=wizardly_pare,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,1.0,0.42857142857142855,1.0,0.42857142857142855,forward
global,evaluator=agitated_pasteur,ALL,overall,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,-0.8666666666666667,-0.8333333333333334,-0.5384615384615384,0.38888888888888895,reverse
global,evaluator=naughty_jones,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,1.0,0.5,0.7777777777777778,0.3888888888888889,forward
global,evaluator=agitated_pasteur,ALL,helpful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,-1.0,-0.75,-0.45454545454545453,0.3409090909090909,reverse
global,evaluator=reverent_heisenberg,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,1.0,0.3333333333333333,1.0,0.3333333333333333,forward
global,evaluator=kind_ardinghelli,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,0.3333333333333333,1.0,1.0,0.3333333333333333,forward
global,evaluator=modest_euclid,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,-0.3333333333333333,-1.0,-1.0,0.3333333333333333,reverse
global,evaluator=nervous_easley,ALL,harmless,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,0.3333333333333333,0.3333333333333333,forward
global,evaluator=amazing_liskov,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,0.6,0.5555555555555556,1.0,0.3333333333333333,forward
global,evaluator=relaxed_roentgen,ALL,truthful,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,-1.0,-0.3333333333333333,-1.0,0.3333333333333333,reverse
global,evaluator=hungry_clarke,ALL,truthful,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,0.3333333333333333,0.3333333333333333,forward
global,evaluator=infallible_spence,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,1.0,1.0,0.3333333333333333,0.3333333333333333,forward
global,evaluator=kind_ardinghelli,ALL,truthful,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,1.0,0.3333333333333333,1.0,0.3333333333333333,forward
global,evaluator=sharp_mccarthy,ALL,truthful,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,0.3333333333333333,1.0,1.0,0.3333333333333333,forward
global,evaluator=reverent_mcnulty,ALL,truthful,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-0.3333333333333333,-1.0,-1.0,0.3333333333333333,reverse
global,evaluator=youthful_spence,ALL,truthful,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,0.3333333333333333,0.3333333333333333,forward
global,evaluator=brave_pike,ALL,harmless,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,0.3333333333333333,1.0,1.0,0.3333333333333333,forward
global,evaluator=youthful_spence,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-0.3333333333333333,-1.0,0.3333333333333333,reverse
global,evaluator=thirsty_northcutt,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,reverse
global,evaluator=gracious_kare,ALL,harmless,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,1.0,0.3333333333333333,1.0,0.3333333333333333,forward
global,evaluator=vigorous_lovelace,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,reverse
global,evaluator=suspicious_saha,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,reverse
global,evaluator=ecstatic_mcnulty,ALL,truthful,allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,0.3333333333333333,1.0,1.0,0.3333333333333333,forward
global,evaluator=reverent_heisenberg,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,1.0,0.5,0.6,0.3,forward
global,evaluator=reverent_mcnulty,ALL,truthful,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-0.5555555555555556,-1.0,-0.5,0.2777777777777778,reverse
global,evaluator=wizardly_pare,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,-0.6363636363636364,-1.0,-0.42857142857142855,0.2727272727272727,reverse
global,evaluator=wizardly_pare,ALL,truthful,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,0.42857142857142855,1.0,0.6,0.2571428571428571,forward
global,evaluator=happy_galileo,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,1.0,1.0,0.25,0.25,forward
global,evaluator=clever_curie,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-1.0,-0.25,0.25,reverse
global,evaluator=wonderful_leavitt,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,0.6363636363636364,1.0,0.38461538461538464,0.24475524475524477,forward
global,evaluator=agitated_pasteur,ALL,helpful,allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,0.45454545454545453,1.0,0.5,0.22727272727272727,forward
global,evaluator=silly_knuth,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,1.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,forward
global,evaluator=optimistic_newton,ALL,harmless,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,0.3333333333333333,1.0,0.6666666666666666,0.2222222222222222,forward
global,evaluator=mystifying_mestorf,ALL,helpful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,0.2857142857142857,1.0,0.75,0.21428571428571427,forward
global,evaluator=modest_mirzakhani,ALL,overall,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,-0.8461538461538461,-1.0,-0.25,0.21153846153846154,reverse
global,evaluator=mystifying_mestorf,ALL,overall,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,0.2727272727272727,1.0,0.75,0.20454545454545453,forward
global,evaluator=relaxed_roentgen,ALL,harmless,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,0.2,1.0,1.0,0.2,forward
global,evaluator=laughing_roentgen,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,-0.2,-1.0,-1.0,0.2,reverse
global,evaluator=wonderful_leavitt,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,0.6363636363636364,0.3333333333333333,0.8666666666666667,0.18383838383838383,forward
global,evaluator=sad_bassi,ALL,overall,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,0.3333333333333333,1.0,0.5294117647058824,0.1764705882352941,forward
global,evaluator=condescending_rosalind,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,-0.5,-0.75,-0.45454545454545453,0.17045454545454544,reverse
global,evaluator=amazing_liskov,ALL,helpful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,0.5555555555555556,0.42857142857142855,0.7142857142857143,0.17006802721088435,forward
global,evaluator=nervous_hypatia,ALL,truthful,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-0.3333333333333333,-0.5,0.16666666666666666,reverse
global,evaluator=affectionate_bhabha,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,-0.3333333333333333,-1.0,-0.5,0.16666666666666666,reverse
global,evaluator=reverent_mcnulty,ALL,truthful,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,0.5,1.0,0.3333333333333333,0.16666666666666666,forward
global,evaluator=stupefied_murdock,ALL,truthful,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,0.25,1.0,0.6666666666666666,0.16666666666666666,forward
global,evaluator=sad_bassi,ALL,overall,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,0.3333333333333333,0.8181818181818182,0.6,0.1636363636363636,forward
global,evaluator=sad_bassi,ALL,helpful,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,0.3333333333333333,0.6923076923076923,0.6666666666666666,0.15384615384615383,forward
global,evaluator=nervous_hypatia,ALL,helpful,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-0.25,-0.6,-1.0,0.15,reverse
global,evaluator=stupefied_murdock,ALL,truthful,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,-0.7142857142857143,-0.2,-1.0,0.14285714285714288,reverse
global,evaluator=sharp_mccarthy,ALL,truthful,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,0.3333333333333333,0.42857142857142855,1.0,0.14285714285714285,forward
global,evaluator=hungry_minsky,ALL,helpful,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-0.6923076923076923,-1.0,-0.2,0.13846153846153847,reverse
global,evaluator=cool_kalam,ALL,overall,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-0.3333333333333333,-0.38461538461538464,0.1282051282051282,reverse
global,evaluator=stupefied_murdock,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,0.5,0.25,1.0,0.125,forward
global,evaluator=determined_elion,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,-1.0,-0.2,-0.6,0.12,reverse
global,evaluator=competent_noyce,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,-0.2,-0.6,-1.0,0.12,reverse
global,evaluator=youthful_lewin,ALL,truthful,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,-0.2,-1.0,-0.5555555555555556,0.11111111111111112,reverse
global,evaluator=suspicious_saha,ALL,truthful,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,0.3333333333333333,1.0,0.3333333333333333,0.1111111111111111,forward
global,evaluator=unruffled_hoover,ALL,harmless,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,0.3333333333333333,1.0,0.3333333333333333,0.1111111111111111,forward
global,evaluator=nervous_hypatia,ALL,truthful,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-0.3333333333333333,-0.6666666666666666,-0.5,0.1111111111111111,reverse
global,evaluator=festive_ardinghelli,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,1.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,forward
global,evaluator=thirsty_northcutt,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,-1.0,-0.3333333333333333,-0.3333333333333333,0.1111111111111111,reverse
global,evaluator=ecstatic_mcnulty,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,-0.3333333333333333,-1.0,-0.3333333333333333,0.1111111111111111,reverse
global,evaluator=agitated_pasteur,ALL,overall,allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,0.5384615384615384,0.42857142857142855,0.4666666666666667,0.10769230769230768,forward
global,evaluator=hungry_benz,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,0.42857142857142855,0.5,0.5,0.10714285714285714,forward
global,evaluator=flamboyant_euclid,ALL,helpful,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,0.45454545454545453,0.3333333333333333,0.6363636363636364,0.09641873278236913,forward
global,evaluator=kind_ardinghelli,ALL,overall,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,0.25,0.6666666666666666,0.5555555555555556,0.09259259259259259,forward
global,evaluator=relaxed_roentgen,ALL,overall,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,-0.3333333333333333,-0.6470588235294118,-0.42857142857142855,0.09243697478991597,reverse
global,evaluator=agitated_pasteur,ALL,helpful,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,0.17647058823529413,1.0,0.5,0.08823529411764706,forward
global,evaluator=blissful_gates,ALL,truthful,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-0.2,-0.42857142857142855,-1.0,0.08571428571428572,reverse
global,evaluator=heuristic_kirch,ALL,truthful,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,0.2,0.42857142857142855,1.0,0.08571428571428572,forward
global,evaluator=determined_elion,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,0.6,0.14285714285714285,1.0,0.0857142857142857,forward
global,evaluator=festive_mayer,ALL,truthful,allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-0.6,-0.14285714285714285,0.0857142857142857,reverse
global,evaluator=vigorous_lovelace,ALL,truthful,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-0.14285714285714285,-1.0,-0.6,0.0857142857142857,reverse
global,evaluator=sharp_mccarthy,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,-0.5,-0.5,-0.3333333333333333,0.08333333333333333,reverse
global,evaluator=competent_noyce,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,-0.25,-0.3333333333333333,-1.0,0.08333333333333333,reverse
global,evaluator=silly_mestorf,ALL,truthful,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,0.5,0.3333333333333333,0.5,0.08333333333333333,forward
global,evaluator=sad_bassi,ALL,helpful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,-0.38461538461538464,-0.6363636363636364,-0.3333333333333333,0.08158508158508158,reverse
global,evaluator=modest_mirzakhani,ALL,overall,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-0.2,-0.4,0.08000000000000002,reverse
global,evaluator=flamboyant_euclid,ALL,overall,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,0.45454545454545453,0.38461538461538464,0.45454545454545453,0.07946598855689764,forward
global,evaluator=amazing_liskov,ALL,overall,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,0.5555555555555556,0.42857142857142855,0.3333333333333333,0.07936507936507936,forward
global,evaluator=determined_elion,ALL,overall,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,-0.6923076923076923,-0.4,-0.2727272727272727,0.07552447552447553,reverse
global,evaluator=sad_bassi,ALL,helpful,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,0.3333333333333333,1.0,0.2222222222222222,0.07407407407407407,forward
global,evaluator=xenodochial_payne,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-0.14285714285714285,-0.5,0.07142857142857142,reverse
global,evaluator=hungry_clarke,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,-0.5,-0.42857142857142855,-0.3333333333333333,0.07142857142857142,reverse
global,evaluator=cool_kalam,ALL,overall,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,0.2727272727272727,0.38461538461538464,0.6666666666666666,0.06993006993006992,forward
global,evaluator=stupefied_murdock,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,0.09090909090909091,1.0,0.75,0.06818181818181818,forward
global,evaluator=cool_kalam,ALL,overall,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,0.2727272727272727,0.38461538461538464,0.6363636363636364,0.06675143038779402,forward
global,evaluator=relaxed_roentgen,ALL,harmless,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,1.0,0.2,0.3333333333333333,0.06666666666666667,forward
global,evaluator=sad_babbage,ALL,harmless,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,1.0,0.3333333333333333,0.2,0.06666666666666667,forward
global,evaluator=stupefied_murdock,ALL,truthful,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,-1.0,-0.2,-0.3333333333333333,0.06666666666666667,reverse
global,evaluator=pedantic_noether,ALL,truthful,allenai/tulu-2-70b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,1.0,0.2,0.3333333333333333,0.06666666666666667,forward
global,evaluator=heuristic_kirch,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,0.5,0.2,0.625,0.0625,forward
global,evaluator=infallible_spence,ALL,overall,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,0.7575757575757576,0.1111111111111111,0.7142857142857143,0.06012506012506012,forward
global,evaluator=xenodochial_payne,ALL,truthful,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-0.6,-0.2,-0.5,0.06,reverse
global,evaluator=vigorous_lovelace,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,-0.2,-0.5,-0.6,0.06,reverse
global,evaluator=musing_golick,ALL,overall,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,0.13043478260869565,0.6,0.75,0.05869565217391304,forward
global,evaluator=hungry_minsky,ALL,overall,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,0.5,0.42857142857142855,0.2727272727272727,0.05844155844155843,forward
global,evaluator=sad_babbage,ALL,harmless,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,-0.5,-0.42857142857142855,-0.2727272727272727,0.05844155844155843,reverse
global,evaluator=flamboyant_euclid,ALL,helpful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,0.3333333333333333,0.23076923076923078,0.75,0.057692307692307696,forward
global,evaluator=xenodochial_payne,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,-0.8,-0.14285714285714285,-0.5,0.05714285714285714,reverse
global,evaluator=modest_mirzakhani,ALL,helpful,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-0.5,-0.1111111111111111,0.05555555555555555,reverse
global,evaluator=youthful_lewin,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,-0.3333333333333333,-0.3333333333333333,-0.5,0.05555555555555555,reverse
