prompt_group,n_prompt_ids,n_annotations,n_models,n_edges,n_possible_edges,n_supported_triangles,models,edges,supported_triangles
004e07210cc84a21b601e5b201c363cd,1,3,2,1,1,0,"[""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
0053321266ae42c5a95890e7b71247c4,1,3,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
0055b7d85a0c4aac965d4c7a465bae18,1,6,4,2,6,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]]",[]
005f6552824640299aa0e815cb771603,1,4,2,1,1,0,"[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
005fb765575f410891653dbc6b732c7a,1,8,4,2,6,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]]",[]
006484a9355944b4a6058c3e9c42831c,1,6,4,2,6,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""], [""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
00667ccf188549568c4795b834572db5,1,8,3,2,3,0,"[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
009f4bd96ab94f93ab8cd00e79a82e2c,1,4,2,1,1,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]]",[]
00c642f5dd1d4677af174420cb5b8d4b,1,6,3,2,3,0,"[""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""], [""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
00d2d503f8134dba83c5d1215a4594cf,1,8,4,2,6,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09""], [""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
00db44b5b09f46acb0e170e71fb620c3,1,3,2,1,1,0,"[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
00dcb52bb9294acb9bc1d7c2c24f64bc,1,5,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""], [""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]]",[]
00dce94987404d86ba3a47057f3dcbf9,1,4,2,1,1,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""]]",[]
00e208d1716549268d7acc6fecee6d3b,1,6,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""], [""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
00eb85a9eb7c4618b12a8b02f716b195,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""], [""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
00ec83333b4747e5b11054823b904a84,1,7,4,2,6,0,"[""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""], [""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
00f322d073244fa986779fb4f83625d6,1,2,2,1,1,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]]",[]
00f491a503344f81a6f7ac985a6ebd21,1,8,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""], [""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
01122d83a2324f5c85c84ccb3db4e930,1,7,4,2,6,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09""], [""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
011a560ede10414cab44095076c42543,1,2,2,1,1,0,"[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
011e4364ae4f46c6b2f4cb84f473db44,1,4,2,1,1,0,"[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
0124383f89bd40898b00f556c55a8a38,1,3,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
0139209900944a5a8e3061dcbfee9767,1,4,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
013c9824414c4eeeaefdc015cfd06e4f,1,8,3,2,3,0,"[""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
013f34a6c49d4d2f8a84cb5d110a98b7,1,4,2,1,1,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""]]",[]
015d441f8e224c2daa7719193dddd241,1,7,4,2,6,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""], [""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]]",[]
015e560f01d246d98cd24fdd63454b8c,1,4,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
017038743e894b359b2dec8c0be08870,1,6,3,2,3,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""], [""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]]",[]
0175c34ab2fb476e81ff591203848bb1,1,8,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""], [""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
01784f4d31e84aacafeaf9f0e5f3abf5,1,2,2,1,1,0,"[""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
01918e38e4194e52a3b40bb1ddc62b2a,1,3,2,1,1,0,"[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
0199c165b2f3459fbadc2d2dab0a9408,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""], [""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09""]]",[]
019ffde242a14b129abd8389f7c3dc66,1,8,3,2,3,0,"[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""], [""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
01a75e0a33d043fd86c00a8adffe2dbc,1,7,4,2,6,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""], [""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
01b2634a56da4c58bb32bb5bddc3f612,1,3,2,1,1,0,"[""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
01b7f981cbda44f689020a97128cc17a,1,8,4,2,6,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""], [""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
01c0418c48c442019c3359614a4a199e,1,6,4,2,6,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""], [""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
01cea3ce990949f8b3fd600522bd31e5,1,4,2,1,1,0,"[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
01d987711fcc4f7fbb6998b783936e82,1,8,4,2,6,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]]",[]
01dc93be7b7c4b7f8a20cadccbcca54b,1,7,4,2,6,0,"[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
01e058c1944043d5a3c32fcb65424c44,1,8,4,2,6,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""], [""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
01e7926741114b33b12a9888014212cc,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""], [""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]]",[]
0203c4d16fcc47e292b5e051b71de04e,1,2,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
02134726464b4ffb889918a2f8883405,1,8,3,2,3,0,"[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""], [""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
02266c307f6a47e5bb55c3105d8aa07c,1,3,2,1,1,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]]",[]
0227e5cb776d4a7cb8f7b82c13c1ae4b,1,4,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""], [""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09""]]",[]
023a793f16994c9fa3c18741a32e74f3,1,3,2,1,1,0,"[""allenai/tulu-2-70b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
0242fb7ec6c947ec81e327eef3986f93,1,7,4,2,6,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""], [""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
02476f89d19c4dbc85ddc103517a8221,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""], [""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
02516d2a7e6b4fd697fe75d696d765d0,1,2,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""], [""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]]",[]
025f6965c57843148611f2e44a3d0480,1,4,2,1,1,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]]",[]
027aa6b01a594f6e910175f8e3609926,1,4,2,1,1,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]]",[]
029cfbdab37b474eb23f9bb2b5e5f62a,1,8,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""], [""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]]",[]
02a6727c0d16492b915b1487462f9d6e,1,1,2,1,1,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]]",[]
02c6278744184b57adb223297484f957,1,5,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""], [""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
02d9b4e670c249c787b9606b1e80204a,1,4,2,1,1,0,"[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]]",[]
02ed7cba315945718048ef2dc30a5e13,1,8,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""], [""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09""]]",[]
02f6ed3e61114e2d871bcd2a2333c422,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""], [""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
030afe05a00c4f919099fee4ede453cb,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""], [""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
0325c89296d5427892dd2c900f4ad88d,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09""], [""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
032aaba2f90c4ecfb71ba2f8ef204561,1,2,2,1,1,0,"[""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
03300eaf7132417aa7bdb9d2a126d75d,1,3,2,1,1,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]]",[]
03406edc541043d98472e005bc053832,1,8,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
034b3b2526b84db980b739f3b0c4bb27,1,2,2,1,1,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""]]",[]
035b466c65d84113b9516ca3ed9dac71,1,8,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""], [""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
035da5182f0c4e2db9441fc450926491,1,7,4,2,6,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]]",[]
037548c982ee42088d3cf2dcc4b63435,1,3,2,1,1,0,"[""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
0396143230eb4a2fae4fe8b4b2b97b7a,1,2,2,1,1,0,"[""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]","[[""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]]",[]
039d148b28e746b2a46ad281712bdb36,1,6,4,2,6,0,"[""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""], [""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
03a2f0fdba5242ed821f07843feee611,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]","[[""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09""], [""gpt-3.5-turbo-0125"", ""gpt-4-turbo-2024-04-09""]]",[]
03c0ca01ce984e40b23182d49c4cc0fd,1,8,3,2,3,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""], [""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
03c2e3e561504216afd049b1df681283,1,1,2,1,1,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]]",[]
03c5607e080e4e5e8020da65f8644f2f,1,4,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
03c58a3f3a8243e8b5998090e34b2dab,1,3,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
03e7cfc5fbd34c77a1e0815b7cffc3db,1,1,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
03f2674b5900414eb63160cf104a9ad5,1,4,2,1,1,0,"[""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-3.5-turbo-0125"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
03f283bf6a4e4b6fa314e35609f523c6,1,3,2,1,1,0,"[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""gpt-3.5-turbo-0125"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
03fc5e6c1b6e43538d6ebe62c8c67501,1,4,2,1,1,0,"[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-70b"", ""gpt-3.5-turbo-0125""]]",[]
04079115c79b4043bbde5f617142aa48,1,4,2,1,1,0,"[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]","[[""allenai/tulu-2-7b"", ""gpt-3.5-turbo-0125""]]",[]
