stratum,score_delta,n_min,tau,model_1,model_2,model_3,edge_1,edge_2,edge_3,margin_1,margin_2,margin_3,support_1,support_2,support_3,weighted_cycle_intensity,min_abs_margin
pooled,0.0,25,0.0,claude-instant-1,models/chat-bison-001,HuggingFaceH4/zephyr-7b-beta,claude-instant-1 > HuggingFaceH4/zephyr-7b-beta,models/chat-bison-001 > claude-instant-1,HuggingFaceH4/zephyr-7b-beta > models/chat-bison-001,0.020100502512562814,0.004672897196261682,0.13364779874213836,199.0,214.0,212.0,1.255321455334038e-05,0.004672897196261682
pooled,0.0,25,0.0,command-nightly,meta-llama/Llama-2-70b-chat-hf,command-light,command-nightly > command-light,meta-llama/Llama-2-70b-chat-hf > command-nightly,command-light > meta-llama/Llama-2-70b-chat-hf,0.014925373134328358,0.08092485549132948,0.005025125628140704,201.0,173.0,199.0,6.0695158997472044e-06,0.005025125628140704
pooled,0.0,50,0.0,gpt-4-1106-preview,meta-llama/Llama-2-13b-chat-hf,gpt-4,gpt-4-1106-preview > gpt-4,meta-llama/Llama-2-13b-chat-hf > gpt-4-1106-preview,gpt-4 > meta-llama/Llama-2-13b-chat-hf,0.1595744680851064,0.031578947368421054,0.16494845360824742,188.0,95.0,97.0,0.000831207213031482,0.031578947368421054
pooled,0.0,50,0.0,claude-2.1,command-light,meta-llama/Llama-2-13b-chat-hf,claude-2.1 > command-light,command-light > meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-chat-hf > claude-2.1,0.05,0.14893617021276595,0.05660377358490566,220.0,94.0,106.0,0.0004215174628663188,0.05
pooled,0.0,50,0.0,meta-llama/Llama-2-13b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,gpt-3.5-turbo,meta-llama/Llama-2-13b-chat-hf > gpt-3.5-turbo,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,gpt-3.5-turbo > mistralai/Mistral-7B-Instruct-v0.1,0.11711711711711711,0.037037037037037035,0.09389671361502347,111.0,108.0,213.0,0.0004072930520504855,0.037037037037037035
pooled,0.0,50,0.0,meta-llama/Llama-2-13b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,gpt-4-1106-preview,meta-llama/Llama-2-13b-chat-hf > gpt-4-1106-preview,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,gpt-4-1106-preview > mistralai/Mistral-7B-Instruct-v0.1,0.031578947368421054,0.037037037037037035,0.2872340425531915,95.0,108.0,188.0,0.000335946248600224,0.031578947368421054
pooled,0.0,50,0.0,gpt-4-1106-preview,meta-llama/Llama-2-13b-chat-hf,command-nightly,gpt-4-1106-preview > command-nightly,meta-llama/Llama-2-13b-chat-hf > gpt-4-1106-preview,command-nightly > meta-llama/Llama-2-13b-chat-hf,0.05102040816326531,0.031578947368421054,0.19298245614035087,196.0,95.0,114.0,0.0003109276951777941,0.031578947368421054
pooled,0.0,50,0.0,claude-2.1,command-light,gpt-4,claude-2.1 > command-light,command-light > gpt-4,gpt-4 > claude-2.1,0.05,0.029320987654320986,0.19230769230769232,220.0,216.0,182.0,0.0002819325735992403,0.029320987654320986
pooled,0.0,50,0.0,claude-2.1,command-light,gpt-4-1106-preview,claude-2.1 > command-light,command-light > gpt-4-1106-preview,gpt-4-1106-preview > claude-2.1,0.05,0.031914893617021274,0.17567567567567569,220.0,188.0,222.0,0.00028033352501437606,0.031914893617021274
pooled,0.0,50,0.0,claude-2.1,command-light,timdettmers/guanaco-33b-merged,claude-2.1 > command-light,command-light > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > claude-2.1,0.05,0.10362694300518134,0.04692556634304207,220.0,193.0,206.0,0.00024313764944581385,0.04692556634304207
pooled,0.0,50,0.0,meta-llama/Llama-2-13b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,claude-2,meta-llama/Llama-2-13b-chat-hf > claude-2,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,claude-2 > mistralai/Mistral-7B-Instruct-v0.1,0.09448818897637795,0.037037037037037035,0.051666666666666666,127.0,108.0,200.0,0.00018081073199183433,0.037037037037037035
pooled,0.0,50,0.0,claude-2,claude-2.1,command-light,claude-2 > claude-2.1,claude-2.1 > command-light,command-light > claude-2,0.12154696132596685,0.05,0.024154589371980676,181.0,220.0,207.0,0.00014679584701203724,0.024154589371980676
pooled,0.0,50,0.0,meta-llama/Llama-2-13b-chat-hf,timdettmers/guanaco-33b-merged,gpt-4-1106-preview,meta-llama/Llama-2-13b-chat-hf > gpt-4-1106-preview,timdettmers/guanaco-33b-merged > meta-llama/Llama-2-13b-chat-hf,gpt-4-1106-preview > timdettmers/guanaco-33b-merged,0.031578947368421054,0.04504504504504504,0.08411214953271028,95.0,111.0,214.0,0.00011964743888009997,0.031578947368421054
pooled,0.0,50,0.0,claude-2.1,command-light,mistralai/Mistral-7B-Instruct-v0.1,claude-2.1 > command-light,command-light > mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1 > claude-2.1,0.05,0.1415929203539823,0.00859106529209622,220.0,226.0,194.0,6.082170118298209e-05,0.00859106529209622
pooled,0.0,50,0.0,claude-2.1,command-light,meta-llama/Llama-2-70b-chat-hf,claude-2.1 > command-light,command-light > meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-chat-hf > claude-2.1,0.05,0.005025125628140704,0.2111692844677138,220.0,199.0,191.0,5.3057609162742164e-05,0.005025125628140704
pooled,0.0,50,0.0,command-light,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-7b-chat-hf,command-light > meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-chat-hf > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > command-light,0.005025125628140704,0.043478260869565216,0.1746031746031746,199.0,184.0,189.0,3.814795162839733e-05,0.005025125628140704
pooled,0.0,50,0.0,claude-2.1,command-light,gpt-3.5-turbo,claude-2.1 > command-light,command-light > gpt-3.5-turbo,gpt-3.5-turbo > claude-2.1,0.05,0.01288244766505636,0.057692307692307696,220.0,207.0,208.0,3.716090672612412e-05,0.01288244766505636
pooled,0.0,50,0.0,command-nightly,gpt-4-1106-preview,command-light,command-nightly > command-light,gpt-4-1106-preview > command-nightly,command-light > gpt-4-1106-preview,0.014925373134328358,0.05102040816326531,0.031914893617021274,201.0,196.0,188.0,2.430314774369576e-05,0.014925373134328358
pooled,0.0,50,0.0,claude-instant-1,models/chat-bison-001,HuggingFaceH4/zephyr-7b-beta,claude-instant-1 > HuggingFaceH4/zephyr-7b-beta,models/chat-bison-001 > claude-instant-1,HuggingFaceH4/zephyr-7b-beta > models/chat-bison-001,0.020100502512562814,0.004672897196261682,0.13364779874213836,199.0,214.0,212.0,1.255321455334038e-05,0.004672897196261682
pooled,0.0,50,0.0,command-nightly,meta-llama/Llama-2-70b-chat-hf,command-light,command-nightly > command-light,meta-llama/Llama-2-70b-chat-hf > command-nightly,command-light > meta-llama/Llama-2-70b-chat-hf,0.014925373134328358,0.08092485549132948,0.005025125628140704,201.0,173.0,199.0,6.0695158997472044e-06,0.005025125628140704
pooled,0.0,100,0.0,meta-llama/Llama-2-13b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,gpt-3.5-turbo,meta-llama/Llama-2-13b-chat-hf > gpt-3.5-turbo,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,gpt-3.5-turbo > mistralai/Mistral-7B-Instruct-v0.1,0.11711711711711711,0.037037037037037035,0.09389671361502347,111.0,108.0,213.0,0.0004072930520504855,0.037037037037037035
pooled,0.0,100,0.0,claude-2.1,command-light,gpt-4,claude-2.1 > command-light,command-light > gpt-4,gpt-4 > claude-2.1,0.05,0.029320987654320986,0.19230769230769232,220.0,216.0,182.0,0.0002819325735992403,0.029320987654320986
pooled,0.0,100,0.0,claude-2.1,command-light,gpt-4-1106-preview,claude-2.1 > command-light,command-light > gpt-4-1106-preview,gpt-4-1106-preview > claude-2.1,0.05,0.031914893617021274,0.17567567567567569,220.0,188.0,222.0,0.00028033352501437606,0.031914893617021274
pooled,0.0,100,0.0,claude-2.1,command-light,timdettmers/guanaco-33b-merged,claude-2.1 > command-light,command-light > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > claude-2.1,0.05,0.10362694300518134,0.04692556634304207,220.0,193.0,206.0,0.00024313764944581385,0.04692556634304207
pooled,0.0,100,0.0,meta-llama/Llama-2-13b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,claude-2,meta-llama/Llama-2-13b-chat-hf > claude-2,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,claude-2 > mistralai/Mistral-7B-Instruct-v0.1,0.09448818897637795,0.037037037037037035,0.051666666666666666,127.0,108.0,200.0,0.00018081073199183433,0.037037037037037035
pooled,0.0,100,0.0,claude-2,claude-2.1,command-light,claude-2 > claude-2.1,claude-2.1 > command-light,command-light > claude-2,0.12154696132596685,0.05,0.024154589371980676,181.0,220.0,207.0,0.00014679584701203724,0.024154589371980676
pooled,0.0,100,0.0,claude-2.1,command-light,mistralai/Mistral-7B-Instruct-v0.1,claude-2.1 > command-light,command-light > mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1 > claude-2.1,0.05,0.1415929203539823,0.00859106529209622,220.0,226.0,194.0,6.082170118298209e-05,0.00859106529209622
pooled,0.0,100,0.0,claude-2.1,command-light,meta-llama/Llama-2-70b-chat-hf,claude-2.1 > command-light,command-light > meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-chat-hf > claude-2.1,0.05,0.005025125628140704,0.2111692844677138,220.0,199.0,191.0,5.3057609162742164e-05,0.005025125628140704
pooled,0.0,100,0.0,command-light,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-7b-chat-hf,command-light > meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-chat-hf > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > command-light,0.005025125628140704,0.043478260869565216,0.1746031746031746,199.0,184.0,189.0,3.814795162839733e-05,0.005025125628140704
pooled,0.0,100,0.0,claude-2.1,command-light,gpt-3.5-turbo,claude-2.1 > command-light,command-light > gpt-3.5-turbo,gpt-3.5-turbo > claude-2.1,0.05,0.01288244766505636,0.057692307692307696,220.0,207.0,208.0,3.716090672612412e-05,0.01288244766505636
pooled,0.0,100,0.0,command-nightly,gpt-4-1106-preview,command-light,command-nightly > command-light,gpt-4-1106-preview > command-nightly,command-light > gpt-4-1106-preview,0.014925373134328358,0.05102040816326531,0.031914893617021274,201.0,196.0,188.0,2.430314774369576e-05,0.014925373134328358
pooled,0.0,100,0.0,claude-instant-1,models/chat-bison-001,HuggingFaceH4/zephyr-7b-beta,claude-instant-1 > HuggingFaceH4/zephyr-7b-beta,models/chat-bison-001 > claude-instant-1,HuggingFaceH4/zephyr-7b-beta > models/chat-bison-001,0.020100502512562814,0.004672897196261682,0.13364779874213836,199.0,214.0,212.0,1.255321455334038e-05,0.004672897196261682
pooled,0.0,100,0.0,command-nightly,meta-llama/Llama-2-70b-chat-hf,command-light,command-nightly > command-light,meta-llama/Llama-2-70b-chat-hf > command-nightly,command-light > meta-llama/Llama-2-70b-chat-hf,0.014925373134328358,0.08092485549132948,0.005025125628140704,201.0,173.0,199.0,6.0695158997472044e-06,0.005025125628140704
pooled,2.0,10,0.0,gpt-4-1106-preview,meta-llama/Llama-2-13b-chat-hf,gpt-4,gpt-4-1106-preview > gpt-4,meta-llama/Llama-2-13b-chat-hf > gpt-4-1106-preview,gpt-4 > meta-llama/Llama-2-13b-chat-hf,0.19161676646706588,0.02197802197802198,0.16129032258064516,167.0,91.0,93.0,0.0006792512104468837,0.02197802197802198
pooled,2.0,10,0.0,meta-llama/Llama-2-13b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,gpt-3.5-turbo,meta-llama/Llama-2-13b-chat-hf > gpt-3.5-turbo,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,gpt-3.5-turbo > mistralai/Mistral-7B-Instruct-v0.1,0.14563106796116504,0.030303030303030304,0.10050251256281408,103.0,99.0,199.0,0.0004435238859788794,0.030303030303030304
pooled,2.0,10,0.0,claude-2.1,command-light,meta-llama/Llama-2-13b-chat-hf,claude-2.1 > command-light,command-light > meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-13b-chat-hf > claude-2.1,0.03827751196172249,0.1111111111111111,0.0891089108910891,209.0,90.0,101.0,0.00037898526694774736,0.03827751196172249
pooled,2.0,10,0.0,gpt-3.5-turbo,meta-llama/Llama-2-13b-chat-hf,command-light,gpt-3.5-turbo > command-light,meta-llama/Llama-2-13b-chat-hf > gpt-3.5-turbo,command-light > meta-llama/Llama-2-13b-chat-hf,0.016501650165016504,0.14563106796116504,0.1111111111111111,202.0,103.0,90.0,0.00026701699296143206,0.016501650165016504
pooled,2.0,10,0.0,meta-llama/Llama-2-13b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,claude-2,meta-llama/Llama-2-13b-chat-hf > claude-2,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,claude-2 > mistralai/Mistral-7B-Instruct-v0.1,0.125,0.030303030303030304,0.06060606060606061,120.0,99.0,187.0,0.00022956841138659323,0.030303030303030304
pooled,2.0,10,0.0,gpt-4-1106-preview,meta-llama/Llama-2-13b-chat-hf,command-nightly,gpt-4-1106-preview > command-nightly,meta-llama/Llama-2-13b-chat-hf > gpt-4-1106-preview,command-nightly > meta-llama/Llama-2-13b-chat-hf,0.054945054945054944,0.02197802197802198,0.18691588785046728,182.0,91.0,107.0,0.00022571656545159678,0.02197802197802198
pooled,2.0,10,0.0,meta-llama/Llama-2-13b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,gpt-4-1106-preview,meta-llama/Llama-2-13b-chat-hf > gpt-4-1106-preview,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-13b-chat-hf,gpt-4-1106-preview > mistralai/Mistral-7B-Instruct-v0.1,0.02197802197802198,0.030303030303030304,0.3076923076923077,91.0,99.0,169.0,0.0002049232818463588,0.02197802197802198
pooled,2.0,10,0.0,claude-2.1,command-light,timdettmers/guanaco-33b-merged,claude-2.1 > command-light,command-light > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > claude-2.1,0.03827751196172249,0.10810810810810811,0.045454545454545456,209.0,185.0,198.0,0.0001880958818757862,0.03827751196172249
pooled,2.0,10,0.0,claude-2.1,command-light,gpt-4,claude-2.1 > command-light,command-light > gpt-4,gpt-4 > claude-2.1,0.03827751196172249,0.01932367149758454,0.16374269005847952,209.0,207.0,171.0,0.00012111425656730566,0.01932367149758454
pooled,2.0,10,0.0,gpt-3.5-turbo,timdettmers/guanaco-33b-merged,command-light,gpt-3.5-turbo > command-light,timdettmers/guanaco-33b-merged > gpt-3.5-turbo,command-light > timdettmers/guanaco-33b-merged,0.016501650165016504,0.06734006734006734,0.10810810810810811,202.0,198.0,185.0,0.00012013213333345348,0.016501650165016504
pooled,2.0,10,0.0,claude-instant-1,models/chat-bison-001,HuggingFaceH4/zephyr-7b-beta,claude-instant-1 > HuggingFaceH4/zephyr-7b-beta,models/chat-bison-001 > claude-instant-1,HuggingFaceH4/zephyr-7b-beta > models/chat-bison-001,0.021505376344086023,0.025,0.13687600644122383,186.0,200.0,207.0,7.358925077485153e-05,0.021505376344086023
